IMname,Category,Energy,Frequency
3,1,1763464.993,54
3,1,1707678.522,55
3,1,1639957.794,56
3,1,1602542.475,57
3,1,1466689.932,58
3,1,1434667.807,59
3,1,1329511.522,60
3,1,1213691.2,61
3,1,1140850.656,62
3,1,1096976.039,63
3,1,1059923.626,64
3,1,1027703.925,65
3,1,973085.9816,66
3,1,889095.0539,67
3,1,885289.8308,68
3,1,800754.2656,69
3,1,794340.4435,70
3,1,728674.592,71
3,1,716585.7316,72
3,1,667762.1618,73
3,1,637351.3489,74
3,1,608874.5026,75
3,1,583422.5085,76
3,1,544432.5114,77
3,1,553658.5286,78
3,1,499027.4147,79
3,1,482377.7552,80
3,1,489392.8681,81
3,1,476350.0787,82
3,1,446114.7378,83
3,1,429322.726,84
3,1,410676.0279,85
3,1,400544.3264,86
3,1,385103.8069,87
3,1,387957.3095,88
3,1,383501.1482,89
3,1,332905.7913,90
4,1,1.35E+11,1
4,1,15009209936,2
4,1,8445643577,3
4,1,3430953633,4
4,1,1978136047,5
4,1,1072968333,6
4,1,854421942.8,7
4,1,566424134.5,8
4,1,348789274.8,9
4,1,270969343.5,10
4,1,174898784.2,11
4,1,147787800.2,12
4,1,128494233.4,13
4,1,98957063.57,14
4,1,79657322.11,15
4,1,62171336.02,16
4,1,53055095.6,17
4,1,51339251.33,18
4,1,42940282.77,19
4,1,33246555.99,20
4,1,26822964.75,21
4,1,23913350.37,22
4,1,19883959.44,23
4,1,18842284.04,24
4,1,19000332.75,25
4,1,15111695.3,26
4,1,15152071.02,27
4,1,12656710.42,28
4,1,10957215.19,29
4,1,9353377.081,30
4,1,8751295.151,31
4,1,8673381.87,32
4,1,7522330.586,33
4,1,6949903.339,34
4,1,6292872.683,35
4,1,5672330.953,36
4,1,4961408.089,37
4,1,4918265.429,38
4,1,4280254.456,39
4,1,4165478.176,40
4,1,3699088.883,41
4,1,3646171.82,42
4,1,3499759.464,43
4,1,3167673.29,44
4,1,2895517.6,45
4,1,2974004.407,46
4,1,2828597.246,47
4,1,2398356.195,48
4,1,2235750.514,49
4,1,2144144.608,50
4,1,2119361.696,51
4,1,1933116.024,52
4,1,1805357.526,53
4,1,1653626.519,54
4,1,1610769.01,55
4,1,1518269.85,56
4,1,1439187.359,57
4,1,1372697.69,58
4,1,1293455.113,59
4,1,1296131.044,60
4,1,1204515.846,61
4,1,1189275.308,62
4,1,1084117.022,63
4,1,1042468.083,64
4,1,948855.6014,65
4,1,934650.6252,66
4,1,862507.2295,67
4,1,821959.6369,68
4,1,779612.1293,69
4,1,780725.5937,70
4,1,722674.5638,71
4,1,654589.9978,72
4,1,667757.6086,73
4,1,667240.4348,74
4,1,625179.6052,75
4,1,577680.2535,76
4,1,548069.8232,77
4,1,529363.0586,78
4,1,505401.2873,79
4,1,492558.5424,80
4,1,485144.6915,81
4,1,450891.8591,82
4,1,432306.7632,83
4,1,415438.6512,84
4,1,397411.9654,85
4,1,398010.6176,86
4,1,385695.418,87
4,1,381772.2411,88
4,1,369502.7559,89
4,1,321235.1645,90
5,1,1.29E+11,1
5,1,16712942537,2
5,1,7397149479,3
5,1,4465538758,4
5,1,2185896063,5
5,1,1188695841,6
5,1,774475735.7,7
5,1,565168540.4,8
5,1,359618658.3,9
5,1,265775464.7,10
5,1,187104521.4,11
5,1,155369492.5,12
5,1,124294742.5,13
5,1,97823494.51,14
5,1,81908123.71,15
5,1,63465610.18,16
5,1,53896777.17,17
5,1,51835967.07,18
5,1,39525048.3,19
5,1,42770216.06,20
5,1,29459465.47,21
5,1,26931132.73,22
5,1,22455212.74,23
5,1,19278781.89,24
5,1,17976621.92,25
5,1,14946952.91,26
5,1,13398799.43,27
5,1,13540237.39,28
5,1,10621365.92,29
5,1,10096811.98,30
5,1,9705361.024,31
5,1,8908787.983,32
5,1,8356385.255,33
5,1,7702154.061,34
5,1,7183910.589,35
5,1,6826202.116,36
5,1,5791800.803,37
5,1,5849427.894,38
5,1,4713257.584,39
5,1,4450063.342,40
5,1,4127152.353,41
5,1,3930745.335,42
5,1,3416730.977,43
5,1,3331199.639,44
5,1,2884163.633,45
5,1,2903960.411,46
5,1,2653272.991,47
5,1,2794495.272,48
5,1,2518640.991,49
5,1,2353862.72,50
5,1,2199648.944,51
5,1,1969241.242,52
5,1,1736391.437,53
5,1,1654078.208,54
5,1,1615168.504,55
5,1,1632123.156,56
5,1,1484774.101,57
5,1,1438290.428,58
5,1,1298154.908,59
5,1,1283715.186,60
5,1,1293097.026,61
5,1,1206584.388,62
5,1,1173820.389,63
5,1,1060146.131,64
5,1,998876.1738,65
5,1,957522.7406,66
5,1,922854.5766,67
5,1,858727.5836,68
5,1,837433.7318,69
5,1,787091.0403,70
5,1,737662.9445,71
5,1,692713.4102,72
5,1,694557.8809,73
5,1,664276.7318,74
5,1,624106.8436,75
5,1,602908.2338,76
5,1,574954.6157,77
5,1,530319.7472,78
5,1,525884.5366,79
5,1,522605.5518,80
5,1,486882.0606,81
5,1,469634.0472,82
5,1,455745.2422,83
5,1,426457.7403,84
5,1,417345.2969,85
5,1,397333.9428,86
5,1,403636.0258,87
5,1,392528.478,88
5,1,398988.837,89
5,1,349813.8726,90
6,1,1.26E+11,1
6,1,16690443700,2
6,1,8950720116,3
6,1,3826993317,4
6,1,2536095635,5
6,1,1179451964,6
6,1,828972958,7
6,1,590737392.9,8
6,1,322598924.5,9
6,1,303098112.5,10
6,1,224282346.4,11
6,1,169268104.5,12
6,1,142857357.4,13
6,1,99748921.6,14
6,1,87711198.17,15
6,1,75053372.57,16
6,1,62253186.98,17
6,1,50357413.88,18
6,1,42749614.06,19
6,1,36816017.5,20
6,1,32378553,21
6,1,27122321.59,22
6,1,25022503.79,23
6,1,20561658.22,24
6,1,19046885.28,25
6,1,16913893.33,26
6,1,15207813.09,27
6,1,13262017.11,28
6,1,11906894.62,29
6,1,11512797.31,30
6,1,10370669.13,31
6,1,9651823.638,32
6,1,8711406.715,33
6,1,7542284.364,34
6,1,7764256.309,35
6,1,6727423.261,36
6,1,5947389.888,37
6,1,5319729.631,38
6,1,5591471.909,39
6,1,5068817.947,40
6,1,4378772.38,41
6,1,3926199.899,42
6,1,3816640.205,43
6,1,3379455.304,44
6,1,3059930.173,45
6,1,2876516.821,46
6,1,2913727.228,47
6,1,2797269.641,48
6,1,2607400.322,49
6,1,2327841.02,50
6,1,2141152.875,51
6,1,2154489.145,52
6,1,1893928.622,53
6,1,1800255.714,54
6,1,1844478.015,55
6,1,1709562.536,56
6,1,1634248.21,57
6,1,1553687.04,58
6,1,1467224.253,59
6,1,1341375.212,60
6,1,1397444.369,61
6,1,1246050.259,62
6,1,1141172.21,63
6,1,1146556.677,64
6,1,996567.3873,65
6,1,1008032.844,66
6,1,945569.0279,67
6,1,923783.612,68
6,1,830624.8604,69
6,1,844545.677,70
6,1,753621.1352,71
6,1,726569.2696,72
6,1,734227.3011,73
6,1,671346.4552,74
6,1,648291.7824,75
6,1,621639.7724,76
6,1,598469.3872,77
6,1,579622.4847,78
6,1,552282.1667,79
6,1,551165.4604,80
6,1,525834.4967,81
6,1,491583.5274,82
6,1,468102.291,83
6,1,471795.9084,84
6,1,435233.9541,85
6,1,431854.7636,86
6,1,419014.7149,87
6,1,416046.5022,88
6,1,382796.756,89
6,1,376136.6813,90
7,1,1.23E+11,1
7,1,19807867038,2
7,1,8494612969,3
7,1,3937904983,4
7,1,2121108632,5
7,1,1167447325,6
7,1,815038004.6,7
7,1,645705514.8,8
7,1,374192646.4,9
7,1,273883307.7,10
7,1,216595674.2,11
7,1,171427179.9,12
7,1,129014387.7,13
7,1,97787205.28,14
7,1,87453759.96,15
7,1,74879546.25,16
7,1,63542872.17,17
7,1,50795274.44,18
7,1,42495646.71,19
7,1,36964220.21,20
7,1,32446170.37,21
7,1,27356580.34,22
7,1,25992553.86,23
7,1,21832977.34,24
7,1,20506141.18,25
7,1,16049678.16,26
7,1,15336552.16,27
7,1,13208440.17,28
7,1,11172190.79,29
7,1,9864761.662,30
7,1,9394472.571,31
7,1,8529115.819,32
7,1,7382725.414,33
7,1,6789448.76,34
7,1,6614149.393,35
7,1,6115357.689,36
7,1,5600377.039,37
7,1,5308487.094,38
7,1,4777246.796,39
7,1,4218045.527,40
7,1,3953228.796,41
7,1,3890288.464,42
7,1,3467979.044,43
7,1,3130328.07,44
7,1,3037126.61,45
7,1,2850391.705,46
7,1,2590039.002,47
7,1,2485565.521,48
7,1,2396443.678,49
7,1,2298055.945,50
7,1,2129254.743,51
7,1,1967311.503,52
7,1,1790179.882,53
7,1,1867352.194,54
7,1,1738138.597,55
7,1,1580084.119,56
7,1,1517582.71,57
7,1,1459800.465,58
7,1,1369601.643,59
7,1,1277909.564,60
7,1,1250509.689,61
7,1,1197424.603,62
7,1,1128386.358,63
7,1,1107253.789,64
7,1,1024805.531,65
7,1,966705.9303,66
7,1,976058.2954,67
7,1,882871.4783,68
7,1,874731.8143,69
7,1,832562.7572,70
7,1,737359.4309,71
7,1,719308.2075,72
7,1,685544.6915,73
7,1,669465.433,74
7,1,613184.7246,75
7,1,584399.6486,76
7,1,578332.2519,77
7,1,534302.6704,78
7,1,542503.2326,79
7,1,523793.0933,80
7,1,501058.952,81
7,1,502524.6156,82
7,1,458438.0006,83
7,1,452888.2682,84
7,1,427196.1473,85
7,1,417057.9098,86
7,1,394978.4502,87
7,1,377510.9551,88
7,1,365187.9417,89
7,1,352179.5455,90
8,1,1.24E+11,1
8,1,17990204317,2
8,1,8560276654,3
8,1,4130950144,4
8,1,2270510794,5
8,1,1182089293,6
8,1,807823293,7
8,1,575829085,8
8,1,369543907,9
8,1,295228316.8,10
8,1,196719527.5,11
8,1,178063229.2,12
8,1,151982521.7,13
8,1,116612821.5,14
8,1,92969892.28,15
8,1,72268910.37,16
8,1,58581190.57,17
8,1,53231211.9,18
8,1,41440819.69,19
8,1,40169031.26,20
8,1,34292004.38,21
8,1,27975633.16,22
8,1,22287396.02,23
8,1,21189629.89,24
8,1,19161310.65,25
8,1,16861556.06,26
8,1,16458433.91,27
8,1,14452178.18,28
8,1,11837390.8,29
8,1,10576157.78,30
8,1,10905292.75,31
8,1,9288403.893,32
8,1,8632555.053,33
8,1,8431161.372,34
8,1,7762370.013,35
8,1,7018533.543,36
8,1,6048561.464,37
8,1,5346470.675,38
8,1,5124159.24,39
8,1,4627772.316,40
8,1,4187364.387,41
8,1,4175794.724,42
8,1,3998488.511,43
8,1,3772206.117,44
8,1,3189586.261,45
8,1,2963688.797,46
8,1,2796170.934,47
8,1,2804060.371,48
8,1,2477177.279,49
8,1,2423458.612,50
8,1,2167705.003,51
8,1,2052674.746,52
8,1,2078840.453,53
8,1,1867794.831,54
8,1,1691374.593,55
8,1,1757456.412,56
8,1,1649226.803,57
8,1,1492088.196,58
8,1,1386046.708,59
8,1,1353509.854,60
8,1,1349426.294,61
8,1,1301701.085,62
8,1,1229495.339,63
8,1,1102598.581,64
8,1,1088328.835,65
8,1,1059531.711,66
8,1,982197.8958,67
8,1,956969.4479,68
8,1,878027.3262,69
8,1,818237.6575,70
8,1,809917.5864,71
8,1,759439.5102,72
8,1,709171.022,73
8,1,665179.0174,74
8,1,653783.498,75
8,1,605193.1453,76
8,1,573921.1352,77
8,1,565713.5608,78
8,1,534804.1519,79
8,1,522830.0972,80
8,1,504309.6977,81
8,1,488206.1968,82
8,1,468460.8839,83
8,1,474075.9998,84
8,1,432697.0473,85
8,1,426788.52,86
8,1,416816.8623,87
8,1,409349.6371,88
8,1,384165.3183,89
8,1,333485.5205,90
9,1,1.22E+11,1
9,1,17963327980,2
9,1,9760606896,3
9,1,3879233747,4
9,1,2433810036,5
9,1,1420384466,6
9,1,919535835.4,7
9,1,548093244.5,8
9,1,331536242.4,9
9,1,252031566.8,10
9,1,190485871.1,11
9,1,176202512.1,12
9,1,142667568.3,13
9,1,103854031.9,14
9,1,90177757.37,15
9,1,74132961.19,16
9,1,62023899.33,17
9,1,50749825,18
9,1,41642008.4,19
9,1,35553065.02,20
9,1,29934758.53,21
9,1,27447806.48,22
9,1,22710142.49,23
9,1,20176776.46,24
9,1,19715464.94,25
9,1,17426575.73,26
9,1,15110083.22,27
9,1,13674339.25,28
9,1,11400157.47,29
9,1,9965551.116,30
9,1,10092079.62,31
9,1,8954808.672,32
9,1,7907718.048,33
9,1,7361286.62,34
9,1,6866169.589,35
9,1,6397643.91,36
9,1,5811207.274,37
9,1,5219868.713,38
9,1,4825383.585,39
9,1,4785884.947,40
9,1,4039642.617,41
9,1,4790954.185,42
9,1,3621359.145,43
9,1,3308174.798,44
9,1,3187755.254,45
9,1,3123349.9,46
9,1,2719084.878,47
9,1,2519496.865,48
9,1,2466008.755,49
9,1,2346446.749,50
9,1,2175472.206,51
9,1,2154834.928,52
9,1,1969269.725,53
9,1,1776155.641,54
9,1,1832691.222,55
9,1,1618665.514,56
9,1,1785741.201,57
9,1,1603576.719,58
9,1,1418535.083,59
9,1,1371476.951,60
9,1,1273767.457,61
9,1,1179109.889,62
9,1,1154681.027,63
9,1,1077171.812,64
9,1,1006052.932,65
9,1,1046198.549,66
9,1,945221.0924,67
9,1,890855.7506,68
9,1,833574.2523,69
9,1,856818.6128,70
9,1,822919.252,71
9,1,719984.7335,72
9,1,722712.8949,73
9,1,671693.7372,74
9,1,634822.8815,75
9,1,613122.2377,76
9,1,592776.9851,77
9,1,578832.1392,78
9,1,548311.5902,79
9,1,499512.34,80
9,1,502017.0654,81
9,1,482142.2636,82
9,1,475241.7711,83
9,1,471371.627,84
9,1,432946.6251,85
9,1,429145.4778,86
9,1,424680.9216,87
9,1,421166.4555,88
9,1,407477.0622,89
9,1,352111.0547,90
10,1,1.31E+11,1
10,1,17382385711,2
10,1,8852241480,3
10,1,3491121923,4
10,1,2183437319,5
10,1,1081018983,6
10,1,801588359.5,7
10,1,486341767.8,8
10,1,335283310.3,9
10,1,229395674.7,10
10,1,186013456.8,11
10,1,154632709,12
10,1,136022362.2,13
10,1,98967054.12,14
10,1,75161849.81,15
10,1,67810171.4,16
10,1,52133767.91,17
10,1,52939016.67,18
10,1,42269256.31,19
10,1,38832280.28,20
10,1,28398322.28,21
10,1,26446526.32,22
10,1,22172847.38,23
10,1,20618839.51,24
10,1,17381423.32,25
10,1,16583271.11,26
10,1,15238815.61,27
10,1,12086446.58,28
10,1,10896343.42,29
10,1,9886113.775,30
10,1,10936064.68,31
10,1,8574343.807,32
10,1,7722233.655,33
10,1,6755591.026,34
10,1,6889094.723,35
10,1,5825307.761,36
10,1,5490732.89,37
10,1,5057062.803,38
10,1,4560794.478,39
10,1,4089624.305,40
10,1,3622445.542,41
10,1,3742964.275,42
10,1,3461132.024,43
10,1,3241817.845,44
10,1,2902698.285,45
10,1,3018788.131,46
10,1,2760083.28,47
10,1,2385383.572,48
10,1,2369414.796,49
10,1,2013202.955,50
10,1,2024885.897,51
10,1,1887905.518,52
10,1,1719160.723,53
10,1,1740788.799,54
10,1,1624033.699,55
10,1,1577747.685,56
10,1,1457366.751,57
10,1,1313181.527,58
10,1,1288746.325,59
10,1,1301597.593,60
10,1,1218586.146,61
10,1,1154647.677,62
10,1,1078448.559,63
10,1,1071733.167,64
10,1,979990.7453,65
10,1,948547.3974,66
10,1,922240.7374,67
10,1,841040.95,68
10,1,781169.5845,69
10,1,746433.4811,70
10,1,719081.2734,71
10,1,694621.2189,72
10,1,663926.5829,73
10,1,618836.3227,74
10,1,610681.0973,75
10,1,587560.3429,76
10,1,546501.1303,77
10,1,575431.6809,78
10,1,515112.9766,79
10,1,495231.0657,80
10,1,497306.4055,81
10,1,483984.2994,82
10,1,447102.3418,83
10,1,427360.9887,84
10,1,417012.0002,85
10,1,415365.5613,86
10,1,395858.628,87
10,1,390569.0142,88
10,1,366318.4269,89
10,1,342291.1862,90
11,1,1.25E+11,1
11,1,18362518267,2
11,1,9057988035,3
11,1,3742463782,4
11,1,2278354100,5
11,1,1280122490,6
11,1,841089719.5,7
11,1,511520342.7,8
11,1,332894986,9
11,1,257754480,10
11,1,197770637.9,11
11,1,192535108.1,12
11,1,131375746.2,13
11,1,94542451.25,14
11,1,87525755.2,15
11,1,74982749.41,16
11,1,56027874.35,17
11,1,51245323.26,18
11,1,37714107.3,19
11,1,38601690.54,20
11,1,32627495.63,21
11,1,27989475.27,22
11,1,22532956,23
11,1,19509223.84,24
11,1,18095294.82,25
11,1,15872370.15,26
11,1,14606058.5,27
11,1,13125455.42,28
11,1,11372424.68,29
11,1,9821314.472,30
11,1,9505797.542,31
11,1,8751425.34,32
11,1,7761158.948,33
11,1,7626452.193,34
11,1,6380237.301,35
11,1,5980619.073,36
11,1,5128523.65,37
11,1,4997801.925,38
11,1,4682809.193,39
11,1,4339515.562,40
11,1,4060243.41,41
11,1,3693789.233,42
11,1,3402201.801,43
11,1,3278765.358,44
11,1,3046212.586,45
11,1,3007785.225,46
11,1,2781402.84,47
11,1,2512119.565,48
11,1,2300789.505,49
11,1,2263356.053,50
11,1,2140010.807,51
11,1,1913751.262,52
11,1,1803758.468,53
11,1,1767944.72,54
11,1,1670118.602,55
11,1,1712408.725,56
11,1,1559823.119,57
11,1,1446068.75,58
11,1,1343213.85,59
11,1,1274853.326,60
11,1,1244113.948,61
11,1,1128956.272,62
11,1,1127163.008,63
11,1,1088934.108,64
11,1,1021667.566,65
11,1,983357.924,66
11,1,969647.4491,67
11,1,843942.3012,68
11,1,844278.1458,69
11,1,808318.2362,70
11,1,759236.0474,71
11,1,710829.2391,72
11,1,695757.5705,73
11,1,651166.8134,74
11,1,627493.7626,75
11,1,584573.1655,76
11,1,542957.1896,77
11,1,545199.2777,78
11,1,514815.7074,79
11,1,503286.3338,80
11,1,496459.6211,81
11,1,470461.4785,82
11,1,447367.4947,83
11,1,437846.1257,84
11,1,417714.1048,85
11,1,430572.9404,86
11,1,393586.783,87
11,1,394657.7675,88
11,1,384222.9922,89
11,1,331591.4126,90
12,1,1.28E+11,1
12,1,17087281280,2
12,1,9460338305,3
12,1,3674203872,4
12,1,2224273769,5
12,1,1217062219,6
12,1,787535505.7,7
12,1,566496195.8,8
12,1,312971001,9
12,1,272395340.1,10
12,1,201942714.5,11
12,1,157104648.1,12
12,1,131945744,13
12,1,87297495.95,14
12,1,81820987.47,15
12,1,75603483.4,16
12,1,54297879.94,17
12,1,46403388.41,18
12,1,39834715.98,19
12,1,35983553.05,20
12,1,26508032.95,21
12,1,22993170.15,22
12,1,20514503.84,23
12,1,19505947.44,24
12,1,19449968.75,25
12,1,14844042.31,26
12,1,14148551.1,27
12,1,12087999.37,28
12,1,11242675.7,29
12,1,9457222.755,30
12,1,9985865.692,31
12,1,8723432.885,32
12,1,8614999.224,33
12,1,7131604.119,34
12,1,6537109.87,35
12,1,5893137.961,36
12,1,5487450.081,37
12,1,5355569.729,38
12,1,4934268.038,39
12,1,4117115.638,40
12,1,4139367.424,41
12,1,3564875.836,42
12,1,3272321.547,43
12,1,3192829.018,44
12,1,2922184.941,45
12,1,2984627.506,46
12,1,2691723.34,47
12,1,2420157.173,48
12,1,2239506.053,49
12,1,2138835.776,50
12,1,2118474.709,51
12,1,2009540.487,52
12,1,1957226.129,53
12,1,1756585.25,54
12,1,1729767.484,55
12,1,1719152.244,56
12,1,1502058.911,57
12,1,1446467.688,58
12,1,1361630.117,59
12,1,1295689.244,60
12,1,1284869.564,61
12,1,1153714.798,62
12,1,1147026.037,63
12,1,1078097.665,64
12,1,1029939.01,65
12,1,930606.4455,66
12,1,884069.3978,67
12,1,862474.5838,68
12,1,790485.0208,69
12,1,799528.4418,70
12,1,759414.5216,71
12,1,704667.3301,72
12,1,662920.1609,73
12,1,638472.5115,74
12,1,610652.3265,75
12,1,571165.1752,76
12,1,577062.9616,77
12,1,536624.2401,78
12,1,510512.2396,79
12,1,492793.7144,80
12,1,486364.4912,81
12,1,468779.8793,82
12,1,434033.8232,83
12,1,430882.547,84
12,1,425805.5,85
12,1,398754.1216,86
12,1,387593.7104,87
12,1,384839.2227,88
12,1,372848.5469,89
12,1,339363.7899,90
13,1,1.24E+11,1
13,1,18482446818,2
13,1,9080124181,3
13,1,3903246406,4
13,1,2143095324,5
13,1,1105407929,6
13,1,831310705.8,7
13,1,563085645.6,8
13,1,336947217.2,9
13,1,273066924.2,10
13,1,232598275.7,11
13,1,211850946.9,12
13,1,140691371.9,13
13,1,113526548.2,14
13,1,85234680.57,15
13,1,74692118.88,16
13,1,58060985.21,17
13,1,49909174.25,18
13,1,44239858.56,19
13,1,37267309.98,20
13,1,30769560.72,21
13,1,27121421.03,22
13,1,23273642.38,23
13,1,20749419.4,24
13,1,19020392.58,25
13,1,16236490.59,26
13,1,14193869.82,27
13,1,14115173.2,28
13,1,12053475.26,29
13,1,11309029.18,30
13,1,10181997.71,31
13,1,9266606.294,32
13,1,8532158.465,33
13,1,8038548.53,34
13,1,7424810.116,35
13,1,6428425.407,36
13,1,5827073.35,37
13,1,5140789.207,38
13,1,4859906.855,39
13,1,4651092.155,40
13,1,4647625.966,41
13,1,4058410.182,42
13,1,3581851.116,43
13,1,3353858.625,44
13,1,3109089.493,45
13,1,3138126.323,46
13,1,2832480.091,47
13,1,2582203.349,48
13,1,2389866.69,49
13,1,2235790.972,50
13,1,2212203.044,51
13,1,2049118.144,52
13,1,1857857.219,53
13,1,1782739.927,54
13,1,1699071.976,55
13,1,1684866.684,56
13,1,1584778.018,57
13,1,1483848.874,58
13,1,1383177.888,59
13,1,1377303.343,60
13,1,1237319.808,61
13,1,1223425.823,62
13,1,1174198.797,63
13,1,1079483.882,64
13,1,1014358.177,65
13,1,1006946.585,66
13,1,917035.9814,67
13,1,877519.4273,68
13,1,804693.7911,69
13,1,764099.5689,70
13,1,770624.7938,71
13,1,724052.8251,72
13,1,678779.7661,73
13,1,660120.3178,74
13,1,635442.9674,75
13,1,590516.6918,76
13,1,584380.4109,77
13,1,528172.5472,78
13,1,546823.3202,79
13,1,492983.6285,80
13,1,492540.6887,81
13,1,475095.1443,82
13,1,458618.2508,83
13,1,448511.4724,84
13,1,424230.6222,85
13,1,403717.3883,86
13,1,411528.0929,87
13,1,400868.8738,88
13,1,373324.6064,89
13,1,334964.0791,90
14,1,1.26E+11,1
14,1,16378299560,2
14,1,8795170134,3
