Subject,Trial,Category,Image,Valence,Arousal,IMidx
3,50,1,face010.png,3,3,27
3,53,3,snake010.png,2,6,73
3,54,3,snake018.png,2,6,81
3,55,2,flower006.png,8,8,49
3,56,3,snake003.png,3,1,66
3,57,2,flower011.png,8,3,54
3,58,2,flower014.png,8,4,57
3,59,2,flower004.png,7,7,47
3,60,1,face020.png,2,8,43
3,61,1,face001.png,2,9,3
3,62,1,face012.png,2,7,32
3,63,2,flower018.png,7,3,61
3,64,1,face011.png,3,6,29
3,65,2,flower015.png,7,4,58
3,68,1,face002.png,4,5,5
3,69,2,flower007.png,7,3,50
3,72,3,snake014.png,3,3,77
3,74,3,snake012.png,3,4,75
3,75,1,face016.png,2,9,39
3,76,1,face018.png,2,9,41
3,77,2,flower013.png,7,3,56
3,78,3,snake020.png,3,3,83
3,80,1,face014.png,2,8,37
3,81,3,snake002.png,3,3,65
4,1,3,snake007.png,3,6,70
4,3,1,face007.png,3,7,14
4,4,2,flower018.png,8,4,61
4,5,2,flower020.png,9,6,63
4,6,2,flower006.png,9,6,49
4,8,3,snake008.png,3,5,71
4,9,1,face016.png,2,8,39
4,10,1,face002.png,2,6,5
4,11,3,snake012.png,3,7,75
4,12,1,face001.png,4,6,3
4,13,1,face020.png,5,7,43
4,14,2,flower004.png,8,6,47
4,15,2,flower003.png,7,5,46
4,16,1,face009.png,2,8,18
4,18,2,flower014.png,5,5,57
4,19,2,flower002.png,6,5,45
4,22,1,face011.png,3,5,29
4,23,3,snake020.png,4,2,83
4,25,3,snake019.png,7,5,82
4,26,3,snake002.png,7,5,65
4,27,2,flower007.png,7,6,50
4,29,2,flower010.png,7,5,53
4,30,3,snake018.png,6,5,81
4,31,1,face017.png,2,5,40
4,32,3,snake004.png,7,5,67
4,34,3,snake016.png,7,5,79
4,35,3,snake010.png,7,6,73
4,37,2,flower015.png,7,6,58
4,38,2,flower019.png,6,3,62
4,39,3,snake003.png,6,5,66
4,40,3,snake011.png,6,4,74
4,41,1,face004.png,3,6,10
4,45,2,flower005.png,9,7,48
4,46,3,snake001.png,8,7,64
4,49,2,flower013.png,8,7,56
4,50,1,face019.png,2,6,42
4,51,1,face014.png,3,8,37
4,52,2,flower012.png,8,6,55
4,53,3,snake017.png,4,6,80
4,54,2,flower017.png,7,6,60
4,55,2,flower008.png,7,5,51
4,56,3,snake005.png,6,5,68
4,57,1,face006.png,1,8,12
4,58,2,flower009.png,5,6,52
4,59,1,face008.png,1,8,17
4,61,1,face015.png,1,7,38
4,62,3,snake015.png,3,3,78
4,65,3,snake006.png,3,7,69
4,66,3,snake009.png,5,5,72
4,68,1,face003.png,2,7,9
4,69,1,face005.png,3,6,11
4,70,2,flower001.png,7,6,44
4,72,1,face010.png,1,7,27
4,73,1,face013.png,2,7,33
4,74,2,flower011.png,4,7,54
4,75,3,snake014.png,5,6,77
4,76,1,face018.png,3,5,41
4,77,1,face012.png,3,5,32
4,81,2,flower016.png,7,5,59
4,83,3,snake013.png,6,4,76
5,1,3,snake004.png,1,9,67
5,2,2,flower012.png,9,9,55
5,4,1,face017.png,3,5,40
5,6,1,face002.png,3,7,5
5,7,2,flower015.png,7,7,58
5,8,3,snake001.png,1,9,64
5,10,1,face006.png,1,9,12
5,11,1,face003.png,5,7,9
5,13,2,flower020.png,8,8,63
5,14,3,snake012.png,1,8,75
5,15,1,face001.png,3,5,3
5,16,2,flower007.png,9,7,50
5,17,3,snake017.png,1,9,80
5,18,2,flower004.png,8,7,47
5,19,1,face016.png,3,7,39
5,20,2,flower002.png,8,8,45
5,21,3,snake016.png,1,9,79
5,22,3,snake010.png,1,9,73
5,23,1,face007.png,3,6,14
5,25,1,face018.png,5,6,41
5,26,2,flower008.png,9,9,51
5,27,1,face019.png,2,7,42
5,28,1,face005.png,5,1,11
5,29,2,flower018.png,9,7,61
5,30,1,face009.png,1,9,18
5,31,3,snake019.png,1,9,82
5,32,3,snake015.png,1,9,78
5,33,2,flower016.png,7,8,59
5,34,1,face013.png,5,5,33
5,35,2,flower013.png,9,5,56
5,36,3,snake006.png,1,9,69
5,38,3,snake020.png,1,9,83
5,39,2,flower009.png,6,6,52
5,40,1,face004.png,1,6,10
5,41,1,face011.png,3,7,29
5,42,2,flower010.png,7,7,53
5,44,2,flower001.png,7,7,44
5,45,1,face010.png,1,3,27
5,46,3,snake003.png,1,9,66
5,49,1,face012.png,2,7,32
5,51,2,flower003.png,5,8,46
5,52,1,face014.png,1,9,37
5,53,3,snake011.png,1,7,74
5,55,2,flower005.png,8,7,48
5,56,1,face008.png,2,8,17
5,58,2,flower019.png,9,9,62
5,62,1,face020.png,1,9,43
5,63,3,snake018.png,1,7,81
5,64,1,face015.png,2,7,38
5,65,3,snake005.png,1,9,68
5,66,2,flower017.png,9,8,60
5,70,2,flower014.png,8,8,57
5,71,3,snake008.png,1,9,71
5,75,3,snake009.png,1,8,72
5,77,3,snake014.png,2,2,77
5,78,3,snake002.png,1,9,65
5,79,2,flower011.png,8,9,54
5,80,3,snake007.png,1,9,70
5,81,2,flower006.png,8,7,49
5,82,3,snake013.png,1,8,76
6,2,2,flower001.png,6,3,44
6,3,2,flower016.png,5,6,59
6,4,2,flower017.png,7,3,60
6,5,1,face002.png,3,6,5
6,7,1,face012.png,4,4,32
6,8,3,snake019.png,1,3,82
6,9,1,face009.png,1,9,18
6,10,2,flower006.png,5,5,49
6,11,3,snake014.png,1,7,77
6,12,1,face011.png,2,6,29
6,13,1,face020.png,2,8,43
6,14,2,flower005.png,5,5,48
6,15,2,flower018.png,6,5,61
6,16,3,snake003.png,1,1,66
6,17,2,flower008.png,9,5,51
6,18,1,face005.png,4,4,11
6,20,3,snake018.png,1,5,81
6,22,2,flower015.png,5,5,58
6,25,3,snake012.png,1,8,75
6,26,2,flower013.png,8,4,56
6,28,2,flower010.png,4,3,53
6,29,2,flower014.png,9,5,57
6,30,1,face017.png,4,4,40
6,31,1,face015.png,3,6,38
6,32,2,flower004.png,5,6,47
6,34,3,snake015.png,1,9,78
6,35,1,face016.png,1,8,39
6,36,3,snake016.png,1,8,79
6,37,3,snake006.png,1,7,69
6,40,2,flower007.png,9,6,50
6,41,1,face001.png,1,6,3
6,42,3,snake001.png,1,7,64
6,43,3,snake020.png,1,8,83
6,45,1,face019.png,5,5,42
6,46,3,snake013.png,1,8,76
6,47,3,snake010.png,1,9,73
6,48,3,snake008.png,1,9,71
6,49,3,snake009.png,1,9,72
6,51,1,face010.png,3,8,27
6,53,1,face014.png,5,6,37
6,56,1,face003.png,5,5,9
6,57,2,flower012.png,7,5,55
6,58,2,flower019.png,7,5,62
6,61,3,snake007.png,1,9,70
6,62,1,face013.png,3,8,33
6,63,3,snake002.png,1,9,65
6,66,3,snake005.png,1,7,68
6,68,1,face018.png,3,7,41
6,69,3,snake017.png,1,7,80
6,70,2,flower011.png,6,9,54
6,71,1,face004.png,5,6,10
6,72,2,flower020.png,8,9,63
6,74,1,face007.png,2,7,14
6,75,1,face008.png,1,8,17
6,76,2,flower002.png,5,3,45
6,77,1,face006.png,1,8,12
6,78,2,flower009.png,5,6,52
6,79,2,flower003.png,7,6,46
6,81,3,snake004.png,1,9,67
6,83,3,snake011.png,1,8,74
7,3,1,face012.png,2,8,32
7,5,2,flower020.png,4,4,63
7,8,1,face001.png,2,5,3
7,9,3,snake017.png,2,3,80
7,10,2,flower004.png,3,3,47
7,11,2,flower005.png,3,3,48
7,14,3,snake009.png,3,4,72
7,15,2,flower018.png,4,4,61
7,17,3,snake012.png,3,5,75
7,18,1,face018.png,3,6,41
7,19,2,flower006.png,4,4,49
7,21,3,snake004.png,4,4,67
7,22,3,snake008.png,3,5,71
7,23,3,snake002.png,3,3,65
7,24,3,snake005.png,3,5,68
7,25,1,face009.png,3,5,18
7,26,1,face015.png,3,5,38
7,28,1,face007.png,4,4,14
7,29,3,snake020.png,5,5,83
7,30,3,snake010.png,3,5,73
7,31,1,face006.png,3,6,12
7,33,3,snake006.png,3,5,69
7,34,2,flower003.png,4,4,46
7,35,1,face002.png,3,5,5
7,36,3,snake014.png,3,3,77
7,37,3,snake016.png,4,4,79
7,38,3,snake001.png,3,5,64
7,39,3,snake011.png,4,4,74
7,40,2,flower009.png,4,4,52
7,41,1,face005.png,3,5,11
7,42,1,face014.png,3,5,37
7,43,3,snake015.png,4,4,78
7,44,2,flower019.png,4,4,62
7,45,1,face004.png,3,5,10
7,46,1,face003.png,3,6,9
7,47,1,face013.png,3,6,33
7,48,2,flower008.png,4,4,51
7,50,1,face019.png,4,6,42
7,52,2,flower014.png,4,4,57
7,53,1,face017.png,3,6,40
7,54,1,face016.png,4,6,39
7,56,1,face020.png,3,6,43
7,57,3,snake018.png,4,4,81
7,58,2,flower017.png,5,5,60
7,59,1,face008.png,4,6,17
7,60,1,face010.png,4,6,27
7,61,2,flower002.png,5,5,45
7,62,2,flower001.png,4,6,44
7,63,1,face011.png,4,7,29
7,64,3,snake013.png,3,4,76
7,67,3,snake019.png,4,5,82
7,68,2,flower011.png,4,4,54
7,69,2,flower012.png,5,5,55
7,71,2,flower010.png,4,5,53
7,73,3,snake003.png,4,4,66
7,74,2,flower013.png,5,5,56
7,77,2,flower016.png,4,4,59
7,78,2,flower007.png,4,5,50
7,81,2,flower015.png,4,4,58
7,82,3,snake007.png,3,3,70
8,1,3,snake001.png,3,7,64
8,2,2,flower018.png,8,5,61
8,4,1,face012.png,7,9,32
8,5,1,face006.png,2,9,12
8,6,2,flower009.png,7,4,52
8,7,2,flower012.png,9,7,55
8,8,2,flower002.png,4,4,45
8,10,1,face010.png,8,8,27
